age,income,education,hours_per_week,label
18,51021.66,masters,24,1
63,104149.77,masters,21,0
45,98114.51,masters,10,1
40,101736.66,masters,20,1
29,47029.82,high_school,22,0
49,92327.2,bachelors,25,1
53,100173.95,masters,39,0
18,73553.45,phd,11,1
65,49099.83,associate,23,1
53,49035.75,bachelors,16,1
70,48889.86,phd,14,0
23,41580.95,associate,55,1
33,119923.61,masters,55,1
58,98717.92,bachelors,55,0
24,78864.15,bachelors,40,1
18,79855.09,high_school,13,1
28,108639.05,high_school,51,1
19,96532.78,phd,23,1
42,16187.89,associate,52,0
20,16961.17,bachelors,14,1
42,15267.13,bachelors,53,0
29,119786.54,phd,31,0
24,66506.34,high_school,16,1
27,50860.28,high_school,18,0
52,69793.23,high_school,16,1
21,30870.06,bachelors,55,0
45,79228.03,masters,42,1
28,93586.56,masters,10,0
54,31607.53,high_school,32,1
40,104395.98,phd,23,1
50,95308.76,high_school,48,1
53,96346.4,phd,38,1
22,40184.52,phd,47,1
68,48504.52,bachelors,22,1
56,77594.98,high_school,42,1
33,75960.73,masters,14,1
60,68570.65,associate,60,1
64,87351.67,bachelors,41,0
35,103057.66,phd,30,0
28,117319.66,associate,25,0
64,102646.01,bachelors,35,1
56,100211.5,phd,47,0
